type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
grass,,,26,82,1,1,95.592,0.001
woods,,,26,84,1,1,94.57,0.001
safe,,,26,99,1,1,87.567,0.001
grey,,,26,107,1,1,84.237,0.001
standing,,,26,203,1,1,56.885,0.001
lived,,,26,234,1,1,50.965,0.001
direction,,,26,339,1,1,36.123,0.001
guessed,,,27,3,1,1,200.756,0.001
hardly,,,27,28,1,1,144.888,0.001
shadows,,,27,52,1,1,120.469,0.001
loud,,,27,64,1,1,111.683,0.001
tall,,,27,98,1,1,93.061,0.001
ran,,,27,179,1,1,66.255,0.001
wild,,,27,298,1,1,44.308,0.001
making,,,27,370,1,1,35.536,0.001
camp,,,27,423,1,1,30.356,0.001
least,,,27,467,1,1,26.673,0.001
dain,,,28,0,1,0,228.313,0.001
mirkwood,,,28,0,1,0,228.313,0.001
barrels,,,28,6,1,1,196.83,0.001
bert,,,28,28,1,1,151.638,0.001
precious,,,28,32,1,1,146.496,0.001
luck,,,28,38,1,1,139.638,0.001
darkness,,,28,46,1,1,131.723,0.001
ll,,,28,50,1,1,128.182,0.001
rocks,,,28,50,1,1,128.182,0.001
sure,,,28,58,1,1,121.764,0.001
bright,,,28,91,1,1,101.574,0.001
kept,,,28,105,1,1,95.006,0.001
sit,,,28,132,1,1,84.435,0.001
folk,,,28,132,1,1,84.435,0.001
fast,,,28,233,1,1,58.39,0.001
themselves,,,28,328,1,1,43.401,0.001
opened,,,28,341,1,1,41.755,0.001
TRUE,,,28,348,1,1,40.901,0.001
beginning,,,28,377,1,1,37.575,0.001
deal,,,28,393,1,1,35.876,0.001
shouted,,,29,4,1,1,212.228,0.001
horrible,,,29,14,1,1,182.68,0.001
quick,,,29,63,1,1,123.951,0.001
breakfast,,,29,64,1,1,123.233,0.001
arms,,,29,102,1,1,101.452,0.001
talk,,,29,214,1,1,66.099,0.001
alone,,,29,392,1,1,38.75,0.001
rather,,,29,554,1,1,24.831,0.001
burglar,,,30,7,1,1,208.968,0.001
nasty,,,30,7,1,1,208.968,0.001
angry,,,30,44,1,1,146.205,0.001
slowly,,,30,78,1,1,119.667,0.001
words,,,30,143,1,1,89.919,0.001
eat,,,30,151,1,1,87.22,0.001
fair,,,30,169,1,1,81.644,0.001
none,,,30,175,1,1,79.92,0.001
forward,,,30,276,1,1,57.76,0.001
sent,,,30,305,1,1,53.048,0.001
bad,,,30,334,1,1,48.831,0.001
songs,,,30,363,1,1,45.031,0.001
further,,,30,381,1,1,42.854,0.001
guess,,,31,14,1,1,197.456,0.001
branches,,,31,67,1,1,132.75,0.001
sleep,,,31,87,1,1,119.845,0.001
hands,,,31,99,1,1,113.344,0.001
longer,,,31,165,1,1,87.267,0.001
except,,,31,228,1,1,70.826,0.001
magic,,,31,232,1,1,69.951,0.001
share,,,31,300,1,1,57.211,0.001
whether,,,31,342,1,1,50.893,0.001
believe,,,31,433,1,1,39.939,0.001
trolls,,,32,3,1,1,240.557,0.001
birds,,,32,52,1,1,151.068,0.001
feeling,,,32,96,1,1,120.256,0.001
sort,,,32,98,1,1,119.184,0.001
heart,,,32,375,1,1,49.584,0.001
stopped,,,33,71,1,1,141.55,0.001
noise,,,33,83,1,1,133.387,0.001
ask,,,33,301,1,1,63.987,0.001
want,,,33,371,1,1,53.222,0.001
keep,,,33,388,1,1,50.968,0.001
outside,,,33,503,1,1,38.38,0.001
less,,,33,697,1,1,24.067,0.001
dori,,,34,0,1,0,277.239,0.001
suppose,,,34,11,1,1,227.562,0.001
stones,,,34,50,1,1,165.567,0.001
perhaps,,,34,172,1,1,98.567,0.001
running,,,34,319,1,1,64.407,0.001
strong,,,34,458,1,1,45.605,0.001
almost,,,34,540,1,1,37.577,0.001
filled,,,35,73,1,1,151.831,0.001
remember,,,35,118,1,1,124.871,0.001
done,,,35,176,1,1,101.813,0.001
silver,,,35,570,1,1,37.462,0.001
front,,,35,704,1,1,27.659,0.001
wolves,,,36,13,1,1,237.296,0.001
ago,,,36,98,1,1,140.945,0.001
wish,,,36,149,1,1,116.301,0.001
beyond,,,36,249,1,1,85.85,0.001
turn,,,36,696,1,1,30.269,0.001
kili,,,37,0,1,0,301.702,0.001
eagles,,,37,21,1,1,226.487,0.001
passed,,,37,170,1,1,113.15,0.001
stream,,,37,198,1,1,103.83,0.001
sound,,,37,530,1,1,46.319,0.001
spiders,,,38,12,1,1,255.159,0.001
nearly,,,38,368,1,1,70.089,0.001
voice,,,38,391,1,1,66.485,0.001
food,,,38,477,1,1,54.946,0.001
fact,,,38,482,1,1,54.354,0.001
few,,,38,844,1,1,25.394,0.001
every,,,38,946,1,1,20.391,0.001
sitting,,,39,41,1,1,208.56,0.001
dale,,,39,75,1,1,174.104,0.001
told,,,39,147,1,1,132.006,0.001
gave,,,39,309,1,1,84.409,0.001
stood,,,40,64,1,1,189.769,0.001
grew,,,40,127,1,1,146.633,0.001
hope,,,40,286,1,1,93.227,0.001
thing,,,40,328,1,1,84.361,0.001
better,,,40,602,1,1,47.243,0.001
hill,,,40,615,1,1,46.032,0.001
big,,,40,654,1,1,42.596,0.001
rock,,,40,1004,1,1,21.101,0.001
lands,,,41,77,1,1,184.531,0.001
bit,,,41,112,1,1,160.293,0.001
hole,,,41,146,1,1,142.605,0.001
floor,,,41,287,1,1,96.974,0.001
always,,,41,318,1,1,90.148,0.001
feel,,,41,329,1,1,87.899,0.001
ground,,,41,621,1,1,48.053,0.001
mind,,,42,244,1,1,112.175,0.001
master,,,42,640,1,1,48.866,0.001
green,,,42,663,1,1,46.778,0.001
together,,,42,799,1,1,36.192,0.001
dwarf,,,43,58,1,1,214.833,0.001
tunnel,,,43,121,1,1,166.056,0.001
felt,,,43,127,1,1,162.688,0.001
red,,,43,898,1,1,31.963,0.001
caught,,,44,81,1,1,199.385,0.001
hear,,,44,171,1,1,146.715,0.001
poor,,,44,237,1,1,123.003,0.001
across,,,44,648,1,1,53.329,0.001
next,,,44,905,1,1,33.54,0.001
called,,,44,989,1,1,28.778,0.001
legs,,,45,37,1,1,255.31,0.001
treasure,,,45,56,1,1,230.039,0.001
edge,,,45,215,1,1,134.711,0.001
getting,,,46,86,1,1,207.358,0.001
indeed,,,46,114,1,1,187.025,0.001
moment,,,46,183,1,1,151.614,0.001
why,,,46,210,1,1,141.164,0.001
wall,,,46,433,1,1,86.906,0.001
dead,,,46,448,1,1,84.439,0.001
yes,,,47,64,1,1,234.172,0.001
anything,,,47,102,1,1,200.969,0.001
below,,,47,424,1,1,91.959,0.001
tree,,,48,285,1,1,126.48,0.001
fili,,,49,0,1,0,399.558,0.001
looking,,,49,110,1,1,206.912,0.001
moon,,,49,222,1,1,150.988,0.001
deep,,,49,244,1,1,143.337,0.001
wood,,,49,312,1,1,123.489,0.001
might,,,49,326,1,1,119.967,0.001
sword,,,49,342,1,1,116.132,0.001
hall,,,49,671,1,1,64.549,0.001
friends,,,50,182,1,1,172.111,0.001
wind,,,50,331,1,1,122.823,0.001
wide,,,50,452,1,1,97.666,0.001
among,,,50,950,1,1,43.169,0.001
o,,,50,1024,1,1,38.383,0.001
being,,,50,1306,1,1,24.215,0.001
cold,,,51,177,1,1,179.541,0.001
lay,,,51,392,1,1,112.885,0.001
cried,,,52,2,1,1,406.982,0.001
really,,,52,198,1,1,175.145,0.001
tell,,,52,466,1,1,102.293,0.001
gone,,,53,80,1,1,256.055,0.001
sun,,,53,451,1,1,108.636,0.001
black,,,53,1016,1,1,45.149,0.001
ponies,,,54,3,1,1,416.929,0.001
knew,,,54,55,1,1,291.116,0.001
brought,,,54,235,1,1,169.988,0.001
morning,,,54,267,1,1,158.597,0.001
inside,,,54,291,1,1,150.921,0.001
hand,,,54,575,1,1,91.612,0.001
near,,,54,1172,1,1,37.591,0.001
those,,,54,1220,1,1,34.993,0.001
already,,,55,422,1,1,121.897,0.001
asked,,,56,139,1,1,227.548,0.001
nor,,,56,154,1,1,218.343,0.001
bard,,,57,6,1,1,425.376,0.001
feet,,,58,107,1,1,262.645,0.001
gate,,,58,129,1,1,245.771,0.001
lost,,,58,473,1,1,122.843,0.001
bombur,,,59,0,1,0,481.106,0.001
goblin,,,59,2,1,1,463.57,0.001
turned,,,59,146,1,1,240.027,0.001
coming,,,59,149,1,1,238.11,0.001
towards,,,59,394,1,1,144.094,0.001
sat,,,60,37,1,1,361.562,0.001
seen,,,60,285,1,1,180.2,0.001
put,,,60,550,1,1,115.879,0.001
wizard,,,62,30,1,1,390.424,0.001
enough,,,62,336,1,1,172.707,0.001
should,,,62,650,1,1,106.682,0.001
help,,,62,768,1,1,90.89,0.001
own,,,62,1574,1,1,31.937,0.001
valley,,,63,445,1,1,148.093,0.001
above,,,63,588,1,1,119.877,0.001
beorn,,,64,0,1,0,521.881,0.001
something,,,64,242,1,1,216.304,0.001
stone,,,64,465,1,1,147.506,0.001
upon,,,64,649,1,1,113.44,0.001
till,,,66,298,1,1,203.754,0.001
others,,,66,704,1,1,111.799,0.001
how,,,66,724,1,1,108.946,0.001
balin,,,67,0,1,0,546.347,0.001
path,,,67,111,1,1,314.371,0.001
looked,,,68,41,1,1,411.555,0.001
shall,,,68,88,1,1,343.819,0.001
mr,,,68,445,1,1,168.332,0.001
look,,,69,401,1,1,184.262,0.001
let,,,70,263,1,1,237.323,0.001
ring,,,70,282,1,1,229.282,0.001
course,,,70,591,1,1,144.371,0.001
took,,,72,656,1,1,139.755,0.001
days,,,73,457,1,1,186.019,0.002
another,,,73,1468,1,1,57.723,0.001
gold,,,74,538,1,1,170.483,0.002
find,,,76,1312,1,1,75.296,0.002
people,,,76,2291,1,1,25.87,0.002
nothing,,,78,211,1,1,306.203,0.002
saw,,,79,233,1,1,299.097,0.002
lake,,,80,694,1,1,161.532,0.002
suddenly,,,81,70,1,1,454.384,0.002
yet,,,81,355,1,1,254.056,0.002
began,,,81,727,1,1,159.161,0.002
fell,,,82,112,1,1,408.221,0.002
once,,,82,808,1,1,149.037,0.002
say,,,83,1194,1,1,103.416,0.002
eyes,,,84,101,1,1,433.539,0.002
along,,,84,1274,1,1,98.31,0.002
smaug,,,85,0,1,0,693.142,0.002
men,,,85,620,1,1,195.38,0.002
head,,,85,953,1,1,137.471,0.002
quite,,,88,172,1,1,390.682,0.002
without,,,91,878,1,1,168.41,0.002
these,,,91,2422,1,1,42.268,0.002
seemed,,,93,31,1,1,619.987,0.002
think,,,93,397,1,1,295.747,0.002
heard,,,94,73,1,1,540.173,0.002
trees,,,95,71,1,1,550.481,0.002
mountains,,,95,96,1,1,513.202,0.002
himself,,,95,778,1,1,200.594,0.002
fire,,,95,900,1,1,178.55,0.002
gollum,,,96,15,1,1,695.447,0.002
forest,,,96,438,1,1,294.74,0.002
right,,,96,1088,1,1,153.683,0.002
king,,,96,1437,1,1,114.153,0.002
elves,,,97,6,1,1,745.455,0.002
found,,,97,1198,1,1,142.651,0.002
day,,,97,2315,1,1,56.682,0.002
things,,,98,124,1,1,498.697,0.002
night,,,99,613,1,1,254.078,0.002
baggins,,,100,4,1,1,781.704,0.002
behind,,,100,472,1,1,301.415,0.002
going,,,101,193,1,1,451.936,0.002
left,,,102,928,1,1,198.24,0.002
water,,,102,1257,1,1,150.342,0.002
side,,,103,1141,1,1,168.496,0.002
river,,,104,1722,1,1,108.975,0.002
our,,,105,442,1,1,336.344,0.002
end,,,105,2066,1,1,85.95,0.002
under,,,105,2989,1,1,41.551,0.002
must,,,108,518,1,1,322.674,0.002
am,,,109,375,1,1,385.345,0.002
dragon,,,110,103,1,1,605.504,0.002
much,,,111,1026,1,1,212.954,0.002
round,,,111,1067,1,1,206.087,0.002
know,,,113,1643,1,1,139.079,0.002
through,,,114,2450,1,1,80.751,0.002
ever,,,117,528,1,1,361.352,0.002
never,,,117,726,1,1,299.882,0.002
us,,,118,1702,1,1,146.598,0.002
though,,,119,830,1,1,282.235,0.002
here,,,120,399,1,1,430.943,0.002
door,,,121,233,1,1,540.017,0.002
light,,,124,902,1,1,285.613,0.003
old,,,125,1640,1,1,172.592,0.003
thought,,,126,250,1,1,556.498,0.003
made,,,126,1475,1,1,195.515,0.003
while,,,126,2771,1,1,85.739,0.003
don,,,127,201,1,1,604.693,0.003
too,,,132,463,1,1,462.498,0.003
just,,,133,1100,1,1,278.761,0.003
many,,,134,2944,1,1,91.348,0.003
away,,,135,730,1,1,376.63,0.003
me,,,137,757,1,1,377.326,0.003
get,,,139,999,1,1,322.904,0.003
got,,,142,211,1,1,689.458,0.003
soon,,,142,529,1,1,483.502,0.003
can,,,143,2994,1,1,105.902,0.003
than,,,144,2472,1,1,143.81,0.003
dark,,,148,342,1,1,618.328,0.003
well,,,148,2405,1,1,158.947,0.003
any,,,149,1398,1,1,282.372,0.003
do,,,149,2785,1,1,131.897,0.003
even,,,153,1068,1,1,362.714,0.003
goblins,,,154,0,1,0,1255.918,0.003
way,,,156,1277,1,1,329.577,0.003
off,,,157,1357,1,1,318.012,0.003
hobbit,,,159,11,1,1,1215.572,0.003
where,,,160,3146,1,1,131.152,0.003
over,,,163,3399,1,1,121.542,0.003
last,,,166,1483,1,1,327.509,0.003
see,,,166,1752,1,1,284.028,0.003
went,,,167,458,1,1,652.034,0.003
little,,,167,675,1,1,546.232,0.003
mountain,,,170,409,1,1,699.402,0.003
go,,,170,1552,1,1,329.555,0.003
far,,,171,890,1,1,487.904,0.003
only,,,171,3625,1,1,124.036,0.003
my,,,182,842,1,1,554.731,0.004
still,,,185,1377,1,1,419.303,0.004
gandalf,,,187,13,1,1,1429.346,0.004
good,,,189,817,1,1,597.275,0.004
after,,,190,6397,1,1,46.248,0.004
again,,,192,1102,1,1,516.866,0.004
did,,,196,814,1,1,632.366,0.004
great,,,200,1201,1,1,523.53,0.004
will,,,201,2081,1,1,349.963,0.004
some,,,203,3108,1,1,235.006,0.004
your,,,204,379,1,1,921.866,0.004
been,,,207,2504,1,1,311.034,0.004
come,,,210,1255,1,1,551.386,0.004
about,,,216,2749,1,1,308.118,0.004
back,,,221,1722,1,1,484.58,0.004
time,,,226,5464,1,1,128.833,0.004
long,,,228,1644,1,1,528.604,0.005
like,,,234,1700,1,1,539.664,0.005
before,,,235,2560,1,1,390.699,0.005
t,,,237,1655,1,1,561.857,0.005
more,,,243,3490,1,1,303.566,0.005
into,,,246,4104,1,1,255.402,0.005
would,,,248,3224,1,1,345.984,0.005
thorin,,,251,2,1,1,2023.954,0.005
came,,,256,457,1,1,1172.631,0.005
very,,,257,1302,1,1,744.923,0.005
then,,,263,3022,1,1,415.784,0.005
when,,,272,4552,1,1,281.262,0.005
this,,,273,8897,1,1,73.945,0.005
dwarves,,,292,13,1,1,2274.727,0.006
one,,,296,7381,1,1,158.548,0.006
so,,,302,1860,1,1,778.215,0.006
now,,,305,1861,1,1,790.639,0.006
what,,,309,1162,1,1,1047.812,0.006
no,,,310,2945,1,1,581.754,0.006
are,,,313,4834,1,1,358.692,0.006
down,,,315,1156,1,1,1080.818,0.006
we,,,340,938,1,1,1324.789,0.007
or,,,368,7924,1,1,260.183,0.007
up,,,377,3617,1,1,701.806,0.007
out,,,380,3374,1,1,754.033,0.008
could,,,381,1462,1,1,1279.537,0.008
from,,,412,17846,1,1,31.305,0.007
have,,,440,13781,1,1,134.678,0.008
him,,,452,3194,1,1,1063.591,0.009
is,,,496,16717,1,1,120.578,0.009
their,,,525,6610,1,1,758.354,0.01
there,,,534,3908,1,1,1226.433,0.011
them,,,540,2279,1,1,1729.533,0.011
bilbo,,,554,8,1,1,4436.655,0.011
said,,,584,667,1,1,3059.202,0.012
with,,,653,24211,1,1,111.248,0.011
but,,,657,6227,1,1,1236.984,0.013
all,,,664,4935,1,1,1509.018,0.013
were,,,696,5221,1,1,1571.445,0.014
as,,,696,27180,1,1,94.215,0.011
for,,,730,28345,1,1,101.544,0.012
not,,,740,6289,1,1,1522.089,0.014
on,,,775,27746,1,1,151.967,0.012
you,,,838,1347,1,1,3976.307,0.017
i,,,844,3939,1,1,2565.097,0.017
his,,,907,16527,1,1,836.596,0.016
had,,,950,3879,1,1,3097.968,0.019
that,,,1063,19301,1,1,986.299,0.018
it,,,1235,16658,1,1,1663.089,0.022
they,,,1367,5747,1,1,4396.964,0.026
was,,,1386,19581,1,1,1773.735,0.024
he,,,1906,19984,1,1,3303.55,0.032
a,,,1963,79550,1,1,223.202,0.022
to,,,2103,83712,1,1,262.381,0.023
of,,,2489,118128,1,1,93.557,0.023
and,,,4510,97596,1,1,3238.195,0.045
the,,,6102,237913,1,1,870.296,0.036
